FIELD_1,FIELD_3,FIELD_4,FIELD_5,FIELD_6,FIELD_8
California,2005-06,2005,50,0-4 yr,0.9
California,2005-06,2005,51,0-4 yr,7
California,2005-06,2005,52,0-4 yr,7.8
California,2005-06,2006,1,0-4 yr,4.4
California,2005-06,2006,2,0-4 yr,3.5
California,2005-06,2006,3,0-4 yr,2.6
California,2005-06,2006,4,0-4 yr,2.6
California,2005-06,2006,5,0-4 yr,2.6
California,2005-06,2006,6,0-4 yr,1.7
California,2005-06,2006,7,0-4 yr,2.6
California,2005-06,2006,8,0-4 yr,4.4
California,2005-06,2006,9,0-4 yr,0.9
California,2005-06,2006,10,0-4 yr,1.7
California,2005-06,2006,11,0-4 yr,0
California,2005-06,2006,12,0-4 yr,1.7
California,2005-06,2006,13,0-4 yr,0.9
California,2005-06,2006,14,0-4 yr,1.7
California,2005-06,2006,15,0-4 yr,1.7
California,2005-06,2006,16,0-4 yr,0.9
California,2005-06,2006,17,0-4 yr,0
California,2005-06,2005,40,5-17 yr,0
California,2005-06,2005,41,5-17 yr,0
California,2005-06,2005,42,5-17 yr,0
California,2005-06,2005,43,5-17 yr,0
California,2005-06,2005,44,5-17 yr,0
California,2005-06,2005,45,5-17 yr,0
California,2005-06,2005,46,5-17 yr,0
California,2005-06,2005,47,5-17 yr,0
California,2005-06,2005,48,5-17 yr,0
California,2005-06,2005,49,5-17 yr,0
California,2005-06,2005,50,5-17 yr,0
California,2005-06,2005,51,5-17 yr,0
California,2005-06,2005,52,5-17 yr,0
California,2005-06,2006,1,5-17 yr,0
California,2005-06,2006,2,5-17 yr,0
California,2005-06,2006,3,5-17 yr,0
California,2005-06,2006,4,5-17 yr,0
California,2005-06,2006,5,5-17 yr,0
California,2005-06,2006,6,5-17 yr,0
California,2005-06,2006,7,5-17 yr,0
California,2005-06,2006,8,5-17 yr,0
California,2005-06,2006,9,5-17 yr,0
California,2005-06,2006,10,5-17 yr,0
California,2005-06,2006,11,5-17 yr,0
California,2005-06,2006,12,5-17 yr,0
California,2005-06,2006,13,5-17 yr,0
California,2005-06,2006,14,5-17 yr,0
California,2005-06,2006,15,5-17 yr,0
California,2005-06,2006,16,5-17 yr,0
California,2005-06,2006,17,5-17 yr,0
California,2005-06,2005,40,18-49 yr,0
California,2005-06,2005,41,18-49 yr,0
California,2005-06,2005,42,18-49 yr,0
California,2005-06,2005,43,18-49 yr,0
California,2005-06,2005,44,18-49 yr,0
California,2005-06,2005,45,18-49 yr,0
California,2005-06,2005,46,18-49 yr,0
California,2005-06,2005,47,18-49 yr,0
California,2005-06,2005,48,18-49 yr,0
California,2005-06,2005,49,18-49 yr,0
California,2005-06,2005,50,18-49 yr,0
California,2005-06,2005,51,18-49 yr,0
California,2005-06,2005,52,18-49 yr,0
California,2005-06,2006,1,18-49 yr,0
California,2005-06,2006,2,18-49 yr,0
California,2005-06,2006,3,18-49 yr,0
California,2005-06,2006,4,18-49 yr,0.2
California,2005-06,2006,5,18-49 yr,0
California,2005-06,2006,6,18-49 yr,0
California,2005-06,2006,7,18-49 yr,0
California,2005-06,2006,8,18-49 yr,0
California,2005-06,2006,9,18-49 yr,0
California,2005-06,2006,10,18-49 yr,0
California,2005-06,2006,11,18-49 yr,0
California,2005-06,2006,12,18-49 yr,0
California,2005-06,2006,13,18-49 yr,0
California,2005-06,2006,14,18-49 yr,0
California,2005-06,2006,15,18-49 yr,0
California,2005-06,2006,16,18-49 yr,0
California,2005-06,2006,17,18-49 yr,0
California,2005-06,2005,40,50-64 yr,0
California,2005-06,2005,41,50-64 yr,0
California,2005-06,2005,42,50-64 yr,0
California,2005-06,2005,43,50-64 yr,0
California,2005-06,2005,44,50-64 yr,0
California,2005-06,2005,45,50-64 yr,0
California,2005-06,2005,46,50-64 yr,0
California,2005-06,2005,47,50-64 yr,0
California,2005-06,2005,48,50-64 yr,0
California,2005-06,2005,49,50-64 yr,0
California,2005-06,2005,50,50-64 yr,0
California,2005-06,2005,51,50-64 yr,0.5
California,2005-06,2005,52,50-64 yr,0.5
California,2005-06,2006,1,50-64 yr,0.5
California,2005-06,2006,2,50-64 yr,0
California,2005-06,2006,3,50-64 yr,0
California,2005-06,2006,4,50-64 yr,0.5
California,2005-06,2006,5,50-64 yr,0
California,2005-06,2006,6,50-64 yr,0
California,2005-06,2006,7,50-64 yr,0
California,2005-06,2006,8,50-64 yr,0
California,2005-06,2006,9,50-64 yr,0
California,2005-06,2006,10,50-64 yr,0
California,2005-06,2006,11,50-64 yr,0
California,2005-06,2006,12,50-64 yr,0
California,2005-06,2006,13,50-64 yr,0
California,2005-06,2006,14,50-64 yr,0
California,2005-06,2006,15,50-64 yr,0
California,2005-06,2006,16,50-64 yr,0
California,2005-06,2006,17,50-64 yr,0
California,2005-06,2005,40,65+ yr,0
California,2005-06,2005,41,65+ yr,0
California,2005-06,2005,42,65+ yr,0
California,2005-06,2005,43,65+ yr,0
California,2005-06,2005,44,65+ yr,0
California,2005-06,2005,45,65+ yr,0
California,2005-06,2005,46,65+ yr,0
California,2005-06,2005,47,65+ yr,0
California,2005-06,2005,48,65+ yr,0
California,2005-06,2005,49,65+ yr,0.8
California,2005-06,2005,50,65+ yr,0
California,2005-06,2005,51,65+ yr,2.4
California,2005-06,2005,52,65+ yr,2.4
California,2005-06,2006,1,65+ yr,0.8
California,2005-06,2006,2,65+ yr,0.8
California,2005-06,2006,3,65+ yr,0
California,2005-06,2006,4,65+ yr,0.8
California,2005-06,2006,5,65+ yr,0
California,2005-06,2006,6,65+ yr,0.8
California,2005-06,2006,7,65+ yr,0
California,2005-06,2006,8,65+ yr,0
California,2005-06,2006,9,65+ yr,0
California,2005-06,2006,10,65+ yr,0
California,2005-06,2006,11,65+ yr,0
California,2005-06,2006,12,65+ yr,0
California,2005-06,2006,13,65+ yr,0
California,2005-06,2006,14,65+ yr,0
California,2005-06,2006,15,65+ yr,0
California,2005-06,2006,16,65+ yr,0
California,2005-06,2006,17,65+ yr,0
California,2005-06,2005,40,Overall,0.1
California,2005-06,2005,41,Overall,0.2
California,2005-06,2005,42,Overall,0
California,2005-06,2005,43,Overall,0
California,2005-06,2005,44,Overall,0
California,2005-06,2005,45,Overall,0
California,2005-06,2005,46,Overall,0
California,2005-06,2005,47,Overall,0.2
California,2005-06,2005,48,Overall,0.1
California,2005-06,2005,49,Overall,0.3
California,2005-06,2005,50,Overall,0.1
California,2005-06,2005,51,Overall,1.1
California,2005-06,2005,52,Overall,1.2
California,2005-06,2006,1,Overall,0.7
California,2005-06,2006,2,Overall,0.5
California,2005-06,2006,3,Overall,0.3
California,2005-06,2006,4,Overall,0.6
California,2005-06,2006,5,Overall,0.3
California,2005-06,2006,6,Overall,0.3
California,2005-06,2006,7,Overall,0.3
California,2005-06,2006,8,Overall,0.5
California,2005-06,2006,9,Overall,0.1
California,2005-06,2006,10,Overall,0.2
California,2005-06,2006,11,Overall,0
California,2005-06,2006,12,Overall,0.2
California,2005-06,2006,13,Overall,0.1
California,2005-06,2006,14,Overall,0.2
California,2005-06,2006,15,Overall,0.2
California,2005-06,2006,16,Overall,0.1
California,2005-06,2006,17,Overall,0
California,2006-07,2006,40,0-4 yr,0
California,2006-07,2006,41,0-4 yr,0
California,2006-07,2006,42,0-4 yr,0
California,2006-07,2006,43,0-4 yr,0
California,2006-07,2006,44,0-4 yr,0.5
California,2006-07,2006,45,0-4 yr,0
California,2006-07,2006,46,0-4 yr,0
California,2006-07,2006,47,0-4 yr,0
California,2006-07,2006,48,0-4 yr,0.5
California,2006-07,2006,49,0-4 yr,0
California,2006-07,2006,50,0-4 yr,0
California,2006-07,2006,51,0-4 yr,0
California,2006-07,2006,52,0-4 yr,1.5
California,2006-07,2007,1,0-4 yr,0.5
California,2006-07,2007,2,0-4 yr,0.5
California,2006-07,2007,3,0-4 yr,1
California,2006-07,2007,4,0-4 yr,2
California,2006-07,2007,5,0-4 yr,3
California,2006-07,2007,6,0-4 yr,4.6
California,2006-07,2007,7,0-4 yr,5.1
California,2006-07,2007,8,0-4 yr,2.5
California,2006-07,2007,9,0-4 yr,0
California,2006-07,2007,10,0-4 yr,0
California,2006-07,2007,11,0-4 yr,0
California,2006-07,2007,12,0-4 yr,0.5
California,2006-07,2007,13,0-4 yr,0
California,2006-07,2007,14,0-4 yr,0
California,2006-07,2007,15,0-4 yr,0
California,2006-07,2007,16,0-4 yr,0
California,2006-07,2007,17,0-4 yr,0
California,2006-07,2006,40,5-17 yr,0
California,2006-07,2006,41,5-17 yr,0
California,2006-07,2006,42,5-17 yr,0
California,2006-07,2006,43,5-17 yr,0
California,2006-07,2006,44,5-17 yr,0
California,2006-07,2006,45,5-17 yr,0
California,2006-07,2006,46,5-17 yr,0
California,2006-07,2006,47,5-17 yr,0
California,2006-07,2006,48,5-17 yr,0
California,2006-07,2006,49,5-17 yr,0
California,2006-07,2006,50,5-17 yr,0
California,2006-07,2006,51,5-17 yr,0.2
California,2006-07,2006,52,5-17 yr,0
California,2006-07,2007,1,5-17 yr,0
California,2006-07,2007,2,5-17 yr,0
California,2006-07,2007,3,5-17 yr,0.4
California,2006-07,2007,4,5-17 yr,0.6
California,2006-07,2007,5,5-17 yr,0.2
California,2006-07,2007,6,5-17 yr,0.2
California,2006-07,2007,7,5-17 yr,0.6
California,2006-07,2007,8,5-17 yr,0.4
California,2006-07,2007,9,5-17 yr,0.4
California,2006-07,2007,10,5-17 yr,0
California,2006-07,2007,11,5-17 yr,0
California,2006-07,2007,12,5-17 yr,0
California,2006-07,2007,13,5-17 yr,0
California,2006-07,2007,14,5-17 yr,0
California,2006-07,2007,15,5-17 yr,0
California,2006-07,2007,16,5-17 yr,0
California,2006-07,2007,17,5-17 yr,0
California,2006-07,2006,40,18-49 yr,0
California,2006-07,2006,41,18-49 yr,0
California,2006-07,2006,42,18-49 yr,0
California,2006-07,2006,43,18-49 yr,0
California,2006-07,2006,44,18-49 yr,0
California,2006-07,2006,45,18-49 yr,0
California,2006-07,2006,46,18-49 yr,0
California,2006-07,2006,47,18-49 yr,0
California,2006-07,2006,48,18-49 yr,0
California,2006-07,2006,49,18-49 yr,0
California,2006-07,2006,50,18-49 yr,0
California,2006-07,2006,51,18-49 yr,0
California,2006-07,2006,52,18-49 yr,0
California,2006-07,2007,1,18-49 yr,0.1
California,2006-07,2007,2,18-49 yr,0
California,2006-07,2007,3,18-49 yr,0
California,2006-07,2007,4,18-49 yr,0.2
California,2006-07,2007,5,18-49 yr,0.4
California,2006-07,2007,6,18-49 yr,0.1
California,2006-07,2007,7,18-49 yr,0.1
California,2006-07,2007,8,18-49 yr,0.1
California,2006-07,2007,9,18-49 yr,0.1
California,2006-07,2007,10,18-49 yr,0
California,2006-07,2007,11,18-49 yr,0
California,2006-07,2007,12,18-49 yr,0
California,2006-07,2007,13,18-49 yr,0
California,2006-07,2007,14,18-49 yr,0
California,2006-07,2007,15,18-49 yr,0
California,2006-07,2007,16,18-49 yr,0
California,2006-07,2007,17,18-49 yr,0
California,2006-07,2006,40,50-64 yr,0
California,2006-07,2006,41,50-64 yr,0
California,2006-07,2006,42,50-64 yr,0
California,2006-07,2006,43,50-64 yr,0
California,2006-07,2006,44,50-64 yr,0
California,2006-07,2006,45,50-64 yr,0
California,2006-07,2006,46,50-64 yr,0
California,2006-07,2006,47,50-64 yr,0
California,2006-07,2006,48,50-64 yr,0
California,2006-07,2006,49,50-64 yr,0
California,2006-07,2006,50,50-64 yr,0
California,2006-07,2006,51,50-64 yr,0
California,2006-07,2006,52,50-64 yr,0
California,2006-07,2007,1,50-64 yr,0.5
California,2006-07,2007,2,50-64 yr,0
California,2006-07,2007,3,50-64 yr,0.2
California,2006-07,2007,4,50-64 yr,0.2
California,2006-07,2007,5,50-64 yr,0.2
California,2006-07,2007,6,50-64 yr,0.3
California,2006-07,2007,7,50-64 yr,0.9
California,2006-07,2007,8,50-64 yr,0
California,2006-07,2007,9,50-64 yr,0
California,2006-07,2007,10,50-64 yr,0.2
California,2006-07,2007,11,50-64 yr,0
California,2006-07,2007,12,50-64 yr,0
California,2006-07,2007,13,50-64 yr,0
California,2006-07,2007,14,50-64 yr,0
California,2006-07,2007,15,50-64 yr,0
California,2006-07,2007,16,50-64 yr,0
California,2006-07,2007,17,50-64 yr,0
California,2006-07,2006,40,65+ yr,0
California,2006-07,2006,41,65+ yr,0
California,2006-07,2006,42,65+ yr,0
California,2006-07,2006,43,65+ yr,0
California,2006-07,2006,44,65+ yr,0
California,2006-07,2006,45,65+ yr,0
California,2006-07,2006,46,65+ yr,0
California,2006-07,2006,47,65+ yr,0
California,2006-07,2006,48,65+ yr,0.3
California,2006-07,2006,49,65+ yr,0
California,2006-07,2006,50,65+ yr,0
California,2006-07,2006,51,65+ yr,0.3
California,2006-07,2006,52,65+ yr,0
California,2006-07,2007,1,65+ yr,0
California,2006-07,2007,2,65+ yr,0.5
California,2006-07,2007,3,65+ yr,0.3
California,2006-07,2007,4,65+ yr,0.5
California,2006-07,2007,5,65+ yr,1.1
California,2006-07,2007,6,65+ yr,0.8
California,2006-07,2007,7,65+ yr,0.3
California,2006-07,2007,8,65+ yr,0.8
California,2006-07,2007,9,65+ yr,1.1
California,2006-07,2007,10,65+ yr,0.8
California,2006-07,2007,11,65+ yr,0.3
California,2006-07,2007,12,65+ yr,0.5
California,2006-07,2007,13,65+ yr,0
California,2006-07,2007,14,65+ yr,0
California,2006-07,2007,15,65+ yr,0
California,2006-07,2007,16,65+ yr,0
California,2006-07,2007,17,65+ yr,0
California,2006-07,2006,40,Overall,0
California,2006-07,2006,41,Overall,0
California,2006-07,2006,42,Overall,0
California,2006-07,2006,43,Overall,0
California,2006-07,2006,44,Overall,0
California,2006-07,2006,45,Overall,0
California,2006-07,2006,46,Overall,0
California,2006-07,2006,47,Overall,0
California,2006-07,2006,48,Overall,0.1
California,2006-07,2006,49,Overall,0
California,2006-07,2006,50,Overall,0
California,2006-07,2006,51,Overall,0.1
California,2006-07,2006,52,Overall,0.1
California,2006-07,2007,1,Overall,0.2
California,2006-07,2007,2,Overall,0.1
California,2006-07,2007,3,Overall,0.2
California,2006-07,2007,4,Overall,0.4
California,2006-07,2007,5,Overall,0.6
California,2006-07,2007,6,Overall,0.5
California,2006-07,2007,7,Overall,0.6
California,2006-07,2007,8,Overall,0.4
California,2006-07,2007,9,Overall,0.2
California,2006-07,2007,10,Overall,0.1
California,2006-07,2007,11,Overall,0
California,2006-07,2007,12,Overall,0.1
California,2006-07,2007,13,Overall,0
California,2006-07,2007,14,Overall,0
California,2006-07,2007,15,Overall,0
California,2006-07,2007,16,Overall,0
California,2006-07,2007,17,Overall,0
California,2007-08,2007,40,0-4 yr,0
California,2007-08,2007,41,0-4 yr,0
California,2007-08,2007,42,0-4 yr,0
California,2007-08,2007,43,0-4 yr,0
California,2007-08,2007,44,0-4 yr,0.5
California,2007-08,2007,45,0-4 yr,0
California,2007-08,2007,46,0-4 yr,0.5
California,2007-08,2007,47,0-4 yr,0.5
California,2007-08,2007,48,0-4 yr,0
California,2007-08,2007,49,0-4 yr,0.5
California,2007-08,2007,50,0-4 yr,0.5
California,2007-08,2007,51,0-4 yr,1.5
California,2007-08,2007,52,0-4 yr,2
California,2007-08,2008,1,0-4 yr,1
California,2007-08,2008,2,0-4 yr,1
California,2007-08,2008,3,0-4 yr,0.5
California,2007-08,2008,4,0-4 yr,1
California,2007-08,2008,5,0-4 yr,2
California,2007-08,2008,6,0-4 yr,2
California,2007-08,2008,7,0-4 yr,5
California,2007-08,2008,8,0-4 yr,4.5
California,2007-08,2008,9,0-4 yr,2
California,2007-08,2008,10,0-4 yr,3.5
California,2007-08,2008,11,0-4 yr,3.5
California,2007-08,2008,12,0-4 yr,1.5
California,2007-08,2008,13,0-4 yr,0
California,2007-08,2008,14,0-4 yr,1
California,2007-08,2008,15,0-4 yr,0
California,2007-08,2008,16,0-4 yr,1
California,2007-08,2008,17,0-4 yr,0.5
California,2007-08,2007,40,5-17 yr,0
California,2007-08,2007,41,5-17 yr,0
California,2007-08,2007,42,5-17 yr,0
California,2007-08,2007,43,5-17 yr,0
California,2007-08,2007,44,5-17 yr,0
California,2007-08,2007,45,5-17 yr,0
California,2007-08,2007,46,5-17 yr,0
California,2007-08,2007,47,5-17 yr,0
California,2007-08,2007,48,5-17 yr,0
California,2007-08,2007,49,5-17 yr,0
California,2007-08,2007,50,5-17 yr,0
California,2007-08,2007,51,5-17 yr,0.2
California,2007-08,2007,52,5-17 yr,0
California,2007-08,2008,1,5-17 yr,0.2
California,2007-08,2008,2,5-17 yr,0.2
California,2007-08,2008,3,5-17 yr,0
California,2007-08,2008,4,5-17 yr,0.6
California,2007-08,2008,5,5-17 yr,0.2
California,2007-08,2008,6,5-17 yr,0.8
California,2007-08,2008,7,5-17 yr,0.6
California,2007-08,2008,8,5-17 yr,0.4
California,2007-08,2008,9,5-17 yr,0.6
California,2007-08,2008,10,5-17 yr,0.2
California,2007-08,2008,11,5-17 yr,0.4
California,2007-08,2008,12,5-17 yr,0
California,2007-08,2008,13,5-17 yr,0
California,2007-08,2008,14,5-17 yr,0
California,2007-08,2008,15,5-17 yr,0.2
California,2007-08,2008,16,5-17 yr,0
California,2007-08,2008,17,5-17 yr,0
California,2007-08,2007,40,18-49 yr,0
California,2007-08,2007,41,18-49 yr,0
California,2007-08,2007,42,18-49 yr,0
California,2007-08,2007,43,18-49 yr,0
California,2007-08,2007,44,18-49 yr,0
California,2007-08,2007,45,18-49 yr,0
California,2007-08,2007,46,18-49 yr,0
California,2007-08,2007,47,18-49 yr,0
California,2007-08,2007,48,18-49 yr,0
California,2007-08,2007,49,18-49 yr,0
California,2007-08,2007,50,18-49 yr,0
California,2007-08,2007,51,18-49 yr,0
California,2007-08,2007,52,18-49 yr,0.1
California,2007-08,2008,1,18-49 yr,0.2
California,2007-08,2008,2,18-49 yr,0.1
California,2007-08,2008,3,18-49 yr,0.1
California,2007-08,2008,4,18-49 yr,0.3
California,2007-08,2008,5,18-49 yr,0.3
California,2007-08,2008,6,18-49 yr,0.3
California,2007-08,2008,7,18-49 yr,0.5
California,2007-08,2008,8,18-49 yr,0.1
California,2007-08,2008,9,18-49 yr,0.6
California,2007-08,2008,10,18-49 yr,0.2
California,2007-08,2008,11,18-49 yr,0.1
California,2007-08,2008,12,18-49 yr,0.1
California,2007-08,2008,13,18-49 yr,0.1
California,2007-08,2008,14,18-49 yr,0.1
California,2007-08,2008,15,18-49 yr,0
California,2007-08,2008,16,18-49 yr,0
California,2007-08,2008,17,18-49 yr,0
California,2007-08,2007,40,50-64 yr,0
California,2007-08,2007,41,50-64 yr,0
California,2007-08,2007,42,50-64 yr,0
California,2007-08,2007,43,50-64 yr,0
California,2007-08,2007,44,50-64 yr,0
California,2007-08,2007,45,50-64 yr,0
California,2007-08,2007,46,50-64 yr,0
California,2007-08,2007,47,50-64 yr,0
California,2007-08,2007,48,50-64 yr,0
California,2007-08,2007,49,50-64 yr,0
California,2007-08,2007,50,50-64 yr,0
California,2007-08,2007,51,50-64 yr,0.2
California,2007-08,2007,52,50-64 yr,0
California,2007-08,2008,1,50-64 yr,0
California,2007-08,2008,2,50-64 yr,0
California,2007-08,2008,3,50-64 yr,0
California,2007-08,2008,4,50-64 yr,0
California,2007-08,2008,5,50-64 yr,0.3
California,2007-08,2008,6,50-64 yr,0.8
California,2007-08,2008,7,50-64 yr,0
California,2007-08,2008,8,50-64 yr,1.5
California,2007-08,2008,9,50-64 yr,0.3
California,2007-08,2008,10,50-64 yr,0.7
California,2007-08,2008,11,50-64 yr,0.5
California,2007-08,2008,12,50-64 yr,1
